organization_id,currency_id,symbol,unicode,name,description,created,created_by,updated,updated_by,active
20519e5c-eab8-4b63-9dce-433ce9141ec6,505d2da9-6424-4b93-84f4-13b3e0ed1516,UAH,UAH,UAH,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",8/3/2015,9870b8c0-e418-4539-b6e0-45bffafef80a,,,true
4d63a23e-644f-4d10-aa54-04b8fa322df3,a60c99f3-510f-4db4-9a32-9c104ead7f11,IDR,IDR,IDR,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",5/13/2016,dd77cdc8-baca-4b43-91a9-a6c52747634d,10/16/2015,394f0f53-0a91-47e2-b369-3079fe00d68d,true
bb69a313-c0b4-419b-ae0b-a8e4d0a29150,4fa8abb1-e670-4b33-8cea-a374a97650df,THB,THB,THB,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.",5/23/2016,c44a8f52-13e2-48e5-97ef-bab534824fd2,,,false
dc786de7-1bd8-4ec1-bc9b-067627c7d206,636dbbcb-d231-42c2-b0a6-c95b9e8baa22,CNY,CNY,CNY,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",3/31/2016,68942a8b-992d-4b5b-89de-00b592747b86,,,false
a2366815-cb16-469d-bd28-7abcb682c69c,8c13d99c-bbf0-4a42-8486-6ae044c08795,EUR,EUR,EUR,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",2/25/2016,a86385b6-988b-42ec-8140-dabf944d72ff,,,true
8cf69547-40e5-45d6-833f-cafa86ed76af,ba324145-8fe5-4871-9758-59dd78e78fe8,BRL,BRL,BRL,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,4/3/2016,85a96b77-5569-4b7a-a32e-a20161c274ed,,,true
6f8e675f-c2c0-484b-a22e-101ed9c89a5e,83e5baa4-bde6-4b52-ac4a-48d319ac98f1,RUB,RUB,RUB,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",1/27/2016,b455a2b1-86a1-427b-952c-cd0550d91384,,,true
3baf5e70-4eba-4675-99d2-6e72e0032bbf,22ed061d-0c46-4f60-b011-0f5955e8db0a,IRR,IRR,IRR,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero.",7/20/2015,34bcd96c-b500-4781-aaf8-e14838358643,,,true
644bc441-98a2-4864-b023-40639f0614c6,f5ce237e-3dc7-4566-8ae4-8facf9bb887f,MKD,MKD,MKD,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",12/4/2015,08082342-9d25-4953-a57b-288911ed0645,,,true
92b6a8ce-b4f6-43db-bcc8-4f02f07ef035,4e831168-77f8-42bb-9a3c-a9e49cf0403d,EGP,EGP,EGP,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",7/5/2015,a86385b6-988b-42ec-8140-dabf944d72ff,,,true
