product_id,parent_product_id,name,description,is_service,price,use_parent_price,unit,tags,info,seq_no,upfront_fee,barcode,owner_id,currency_id,created,created_by,updated,updated_by,active
f4e01cc5-89ca-4c7f-bb65-7b864707857b,,Octinoxate and Zinc Oxide,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.",false,532.22,true,m,ipsum primis in faucibus orci luctus et,justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet,1,87.54,37000-231,,,6/2/2016,,8/29/2015,,true
de7e53cf-7ed3-475b-9fb3-28a403422e2d,,rifapentine,,true,443.2,false,m,nam,sagittis nam congue risus semper porta volutpat quam pede lobortis ligula,2,26.36,0088-2100,,,10/19/2015,,5/23/2016,,false
df6e640c-ff70-4665-8ad3-b5d25fa2c9ca,,verapamil hydrochloride,,false,267.03,false,sq cm,fusce posuere felis,rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet,3,9.57,60760-984,,,10/16/2015,,6/11/2016,,true
956a6861-e892-41e6-b56b-3ad534aaa8fe,,Indapamide,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.",true,998.6,true,l,arcu,nisl nunc rhoncus dui vel sem sed sagittis nam congue,4,11.28,0228-2597,,,9/8/2015,,3/19/2016,,false
2edf51e7-1475-49fe-8706-9266dcedbe14,,"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, DOXYLAMINE SUCCINATE, PHENYLEPHRINE HYDROCHLORIDE",,true,983.76,false,in,eget massa tempor convallis nulla,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec,5,30.43,76461-005,,,6/21/2016,,7/21/2015,,true
4b018d66-1053-4435-a53e-aa3092c3843d,,PROMETHAZINE HYDROCHLORIDE PHENYLEPHRINE HYDROCHLORIDE AND CODEINE PHOSPHATE,,false,804.58,false,sq cm,ac diam cras,nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in,6,29.15,63629-2959,,,5/28/2016,,1/22/2016,,false
4abecc51-0dea-4458-b7e0-77887c148194,,Chloroxylenol,,true,500.15,true,each,varius nulla facilisi cras non velit,auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi,7,36.28,17271-502,,,8/12/2015,,10/2/2015,,true
9861101c-d6e0-4fc6-9458-8afbc3d8515a,,sumatriptan succinate,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.",false,493.69,false,m,nisl nunc nisl duis bibendum felis sed,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit,8,29.27,16252-592,,,6/19/2016,,9/7/2015,,false
7a1b96d0-eaf3-4d83-9a80-d7300727eb3e,,Butalbital Acetaminophen and Caffeine,,true,99.08,false,lb,non mattis pulvinar nulla pede,nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in,9,53.83,49999-151,,,5/7/2016,,5/6/2016,,false
fc2d359d-adf4-4ab4-bda0-1cec0e193679,,Russian Thistle Salsola kali,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,false,603.28,true,cc,amet nunc viverra,sapien cursus vestibulum proin eu mi nulla ac enim in tempor,10,89.71,65044-2362,,,6/8/2016,,7/18/2015,,false
2e4a279f-dc75-4025-adbc-684250523fbd,,Omeprazole,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",true,173.52,true,kg,sapien sapien non,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel,11,4.14,68391-915,,,5/12/2016,,12/5/2015,,true
704da201-39a8-49b9-970e-141adaca295f,,Amitriptyline Hydrochloride,,false,290.95,false,pax,luctus,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et,12,84.15,10544-109,,,7/30/2015,,8/31/2015,,false
