organization_id,product_id,review_id,seq_no,created,created_by,updated,updated_by,active
46b19d2b-7e83-4641-8e9a-03b357c3113e,f4e01cc5-89ca-4c7f-bb65-7b864707857b,613ee791-238c-4d11-a707-ebf81e0d70b7,90,1/23/2016,8fda6044-6aaf-40fb-8e35-d3c162d79423,,,true
e3fbf476-cfc8-43e8-9090-8bfebdbc1d90,de7e53cf-7ed3-475b-9fb3-28a403422e2d,244dd0ca-55f1-4bec-990c-cb323249b2d9,90,10/15/2015,fa4961e4-5ea4-426c-89a5-83615f920c9d,,,true
a5c955d4-2f41-485d-bfbb-348aa8008095,df6e640c-ff70-4665-8ad3-b5d25fa2c9ca,c45bddc7-bb77-4977-8fb5-7c82a62060ff,18,6/24/2016,e841a042-248f-416c-a22b-92f6ae3af7f5,,,false
a349428b-402a-4cb7-952b-e720473b61dd,956a6861-e892-41e6-b56b-3ad534aaa8fe,72132a9e-7b84-48ed-9e1d-38bf02445246,90,3/28/2016,833c5acb-4b3e-4974-b042-3c4846ba3644,1/6/2016,f0d1ae55-1873-4ab7-9ed2-a56b33f6dbc2,false
1ef3b641-0e6d-4a65-9ba4-fcb20e1ac782,2edf51e7-1475-49fe-8706-9266dcedbe14,147fdf0e-9653-4e68-ad43-183c7105c0ca,9,10/20/2015,f2ac8416-f992-4ad5-b1bf-fbb4cf981548,,,true
f33fec9a-e96a-49ca-b126-d32c4cc4ca47,4b018d66-1053-4435-a53e-aa3092c3843d,ddb5dc8d-f0f0-4538-a529-672c244981c1,44,1/13/2016,31ad2532-e1d6-45d4-bfcd-d1108cc1decc,,,true
4065c6ca-72c2-4614-b517-121ce1861b3a,4abecc51-0dea-4458-b7e0-77887c148194,54b624e3-8c1c-452c-8a8f-668361044664,7,3/13/2016,7fd49bf1-5521-477d-a5e9-f69d5413d8bf,,,false
3b5e9043-3ea1-4ff2-a60c-1a60bbb1fa0f,9861101c-d6e0-4fc6-9458-8afbc3d8515a,3fd42f41-ec22-4acd-84c2-97d66ad47d47,88,9/25/2015,a7661f4c-1226-4d4f-83cc-4f2409e546f0,,,false
b898e3ce-4caf-4a69-87cd-df1688e4fd39,7a1b96d0-eaf3-4d83-9a80-d7300727eb3e,c7181a73-c4d3-4582-a080-95bbceab893a,80,11/28/2015,d4bc74c0-7fb7-44bb-8710-47909698c547,2/26/2016,3eb0bae6-3089-4112-b4eb-4df49a628e5a,true
7f6cdcf4-3a13-4d8f-aca4-22407e66a629,fc2d359d-adf4-4ab4-bda0-1cec0e193679,0f4fe0e7-6180-4dfd-bf9e-4d171109bdff,14,3/31/2016,1db5798a-9779-4104-868b-3b8843e197d9,,,true
f50572df-66f2-4d7d-9629-60bfd812cdee,2e4a279f-dc75-4025-adbc-684250523fbd,82ec4d48-e73f-4486-8cfd-6f403bed5c51,41,12/18/2015,dcc2e059-55e8-4a8a-a531-467f5f455e0f,4/22/2016,8a026161-6a92-4c54-ac2e-e094334dc732,false
2358439d-7eed-4981-b0f3-a5edfa6387c4,704da201-39a8-49b9-970e-141adaca295f,1021d210-7608-4342-891e-8d169e045161,17,4/15/2016,0490951c-37b4-4b2e-9531-7f8e65e5e8a0,,,false
0f86f55f-688b-4e52-a84b-eaa07f7b3d6a,3377a57b-3050-4951-825f-0f9d268b84a6,a950c600-c911-4946-9760-08a0c48eacce,65,2/10/2016,e722e312-9cc2-4227-8b47-dcf53e71e94a,,,false
107f1dfa-e88d-443d-892d-1abfb8d7075f,50006cbb-a193-477e-bf3d-17e73a4c3dbf,9a22b7ca-1de4-4108-8653-ec5de8e3e2ab,1,8/14/2015,d7557e54-0483-4387-abff-7e35eb8de53d,7/12/2015,29195a3d-3335-473d-9aa7-d0bdd16d1e68,true
c793ee86-7a43-4530-a76c-9bc9e6102787,dc13fac7-6d89-42a8-933f-43366f1d4587,6c81e4ca-3710-4a37-8548-7b86d8d6d108,78,11/8/2015,42d1ce1e-7ad0-4d4a-b2ba-e6e0b73dcac7,,,true
633c4e4d-8f03-4de9-8cfa-cc7a254ab54d,a767b40e-15e5-43a0-a2b7-17938c091d3d,c9e02591-154c-4791-99a0-f8646681d3b5,44,6/14/2016,db04515c-092a-4382-aaff-df9ea9cfedef,,,false
1893056d-53a4-4220-90fd-dce8185f94db,c2e3e10a-9d7a-4e7b-8083-fd7787ef956e,f78bffc3-ce94-4e74-938e-c32bed8335b6,3,9/17/2015,165c5f63-261a-4c16-8019-79d632954351,,,false
9e3fd059-a30c-43ce-8dea-54eccfa846b7,ec6efd51-f74d-4ffb-8bef-53772a8ed2ff,325da974-4e60-426d-8817-810734db71e7,10,5/16/2016,e717f3d5-76ed-4b6c-bb31-4b63cfbf7d95,,,true
423b185c-775d-4a4e-b5b1-23531818e337,2d6e602f-7bfb-480b-a696-9dca5f16d9d1,9c9f1f93-ae07-4911-94c1-f12e04662d00,52,7/4/2015,3bc712cd-64ce-4e5d-af18-80e216dffeda,,,true
